Measrmt&Instrumntn-Biol Sys,ALS,112,367,1,59,3.212,"[30.5, 20.3, 30.5, 1.7, 15.3, 1.7, None, None, None, None, None, None, None, None, None]"
Measrmt&Instrumntn-Biol Sys,ALS,112,367,3,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Heat and Mass Transfer,ALS,112,464,1,32,3.094,"[9.4, 40.6, 28.1, 9.4, 9.4, 3.1, None, None, None, None, None, None, None, None, None]"
Sedmnt & Bio-Nutr Engr&Mgmt,ALS,112,472,1,28,3.278,"[21.4, 28.6, 28.6, 17.9, None, None, None, 3.6, None, None, None, None, None, None, None]"
Engr Princpl Off-Road Vehicles,ALS,112,476,1,29,2.914,"[3.4, 13.8, 58.6, 10.3, 13.8, None, None, None, None, None, None, None, None, None, None]"
Biol Sys Engr Dsgn Practicum I,ALS,112,508,2,66,3.867,"[80.3, 9.1, 6.1, 1.5, None, None, None, None, None, None, None, None, 3.0, None, None]"
Small Watershed Engineering,ALS,112,571,1,30,2.867,"[13.3, 26.7, 13.3, 20.0, 23.3, 3.3, None, None, None, None, None, None, None, None, None]"
Food & Phmaceut Separations,ALS,112,642,1,31,3.113,"[22.6, 9.7, 58.1, None, 3.2, 6.5, None, None, None, None, None, None, None, None, None]"
Food & Phmaceut Separations,ALS,112,699,13,3,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Food & Phmaceut Separations,ALS,112,699,25,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Food & Phmaceut Separations,ALS,112,699,30,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Food & Phmaceut Separations,ALS,112,699,33,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
Graduate Research Seminar,ALS,112,901,1,13,3.923,"[92.3, None, 7.7, None, None, None, None, None, None, None, None, None, None, None, None]"
Graduate Research Seminar,ALS,112,990,3,2,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
