,#1,#2,#3,#4,#5,#6,#7,#8
5738,In-Depth Reporting,L&S,512,401,001,10,3.8,"[60.0, 40.0, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5739,Interpatn Contemp Affairs,L&S,512,404,001,7,3.786,"[57.1, 42.9, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5740,Multimedia Graphics,L&S,512,411,001,20,3.575,"[35.0, 45.0, 20.0, None, None, None, None, None, None, None, None, None, None, None, None]"
5741,Multimedia Graphics,L&S,512,445,001,17,4.0,"[100.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5742,Multimedia Graphics,L&S,512,445,002,18,3.882,"[77.8, 11.1, 5.6, None, None, None, None, None, None, None, None, None, 5.6, None, None]"
5743,Develop Creatv Messages-Media,L&S,512,475,012,24,3.813,"[66.7, 29.2, 4.2, None, None, None, None, None, None, None, None, None, None, None, None]"
5744,Develop Creatv Messages-Media,L&S,512,475,014,11,3.818,"[72.7, 18.2, 9.1, None, None, None, None, None, None, None, None, None, None, None, None]"
5745,Develop Creatv Messages-Media,L&S,512,475,022,23,3.674,"[43.5, 47.8, 8.7, None, None, None, None, None, None, None, None, None, None, None, None]"
5746,Develop Creatv Messages-Media,L&S,512,475,024,15,3.333,"[46.7, 13.3, 33.3, None, None, None, 6.7, None, None, None, None, None, None, None, None]"
5747,Develop Creatv Messages-Media,L&S,512,475,025,14,3.893,"[78.6, 21.4, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5748,Intro to Survey Research,L&S,512,544,001,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
5749,Mass Communication&Society,L&S,512,561,001,63,3.556,"[39.7, 36.5, 19.0, 4.8, None, None, None, None, None, None, None, None, None, None, None]"
5750,Effects-Mass Communication,L&S,512,565,001,97,3.693,"[50.5, 36.1, 12.4, None, None, None, None, 1.0, None, None, None, None, None, None, None]"
