,#1,#2,#3,#4,#5,#6,#7,#8
77,Seminar,ALS,112,990,035,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
78,Seminar,ALS,112,990,036,4,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
79,Seminar,ALS,112,990,038,5,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
80,Seminar,ALS,112,990,039,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
81,Special Problems,ALS,112,999,003,1,,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
82,LIFE SCIENCES COMMUNICATIO,ALS,120,100,001,15,3.567,"[33.3, 46.7, 20.0, None, None, None, None, None, None, None, None, None, None, None, None]"
83,LIFE SCIENCES COMMUNICATIO,ALS,120,100,002,15,3.767,"[60.0, 33.3, 6.7, None, None, None, None, None, None, None, None, None, None, None, None]"
84,LIFE SCIENCES COMMUNICATIO,ALS,120,100,003,15,3.467,"[13.3, 66.7, 20.0, None, None, None, None, None, None, None, None, None, None, None, None]"
85,LIFE SCIENCES COMMUNICATIO,ALS,120,100,004,15,3.567,"[40.0, 46.7, None, 13.3, None, None, None, None, None, None, None, None, None, None, None]"
86,LIFE SCIENCES COMMUNICATIO,ALS,120,100,005,15,3.4,"[13.3, 53.3, 33.3, None, None, None, None, None, None, None, None, None, None, None, None]"
87,LIFE SCIENCES COMMUNICATIO,ALS,120,100,006,15,3.867,"[73.3, 26.7, None, None, None, None, None, None, None, None, None, None, None, None, None]"
88,LIFE SCIENCES COMMUNICATIO,ALS,120,100,007,14,3.571,"[28.6, 57.1, 14.3, None, None, None, None, None, None, None, None, None, None, None, None]"
89,LIFE SCIENCES COMMUNICATIO,ALS,120,100,008,15,3.667,"[53.3, 33.3, 6.7, 6.7, None, None, None, None, None, None, None, None, None, None, None]"
90,LIFE SCIENCES COMMUNICATIO,ALS,120,100,009,15,3.8,"[66.7, 26.7, 6.7, None, None, None, None, None, None, None, None, None, None, None, None]"
91,LIFE SCIENCES COMMUNICATIO,ALS,120,100,010,15,3.567,"[40.0, 40.0, 13.3, 6.7, None, None, None, None, None, None, None, None, None, None, None]"
92,LIFE SCIENCES COMMUNICATIO,ALS,120,100,011,15,3.533,"[26.7, 53.3, 20.0, None, None, None, None, None, None, None, None, None, None, None, None]"
